FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A0.1,A0.2,A1,A2,A3.1,A3.2,A3.3,A0.3,A0.4,A0.5
PAK,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
PHL,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
PHL,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
PRT,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
PRT,LLOB,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
QAT,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
SEN,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
SUN,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
SUN,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
SUN,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
SUN,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
SYC,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
SYC,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
SYC,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
SYC,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
SYC,LLCO,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
SYC,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
SYC,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
THA,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
THA,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
THA,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
THA,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
TMP,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
TWN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
TWN,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
TWN,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
TWN,LLOB,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
TZA,BB,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
TZA,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
TZA,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
TZA,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
TZA,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
TZA,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
TZA,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
TZA,PSS,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
TZA  ,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
URY,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
VUT,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
YEM,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
YEM,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
YEM,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
ZAF,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
ZAF,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
ZAF,SLL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
ZAF,SPOR,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
ZAF,TLL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
